,Bit-length,Lattice Dimension,N,l,c,|b_op - t|^2,P(b_op),|v_best - t|^2,P(v_best),P(|v_new - t|^2 < |b_op - t|^2),P(|v_new - t|^2 > |b_op - t|^2),E[|v_new - t|^2]
0,8.0,3.0,227.0,1.0,3.0,10.04987562112089,0.5660000000000001,9.591663046625438,0.303,0.303,0.131,10.531392873282261
0,8.0,3.0,149.0,1.0,3.0,7.3484692283495345,0.6759999999999999,7.3484692283495345,0.676,0.0,0.32400000000000007,9.266988588180993
0,8.0,3.0,239.0,1.0,3.0,6.082762530298219,0.848,6.082762530298219,0.848,0.0,0.15200000000000002,7.467686601309894
0,8.0,3.0,241.0,1.0,3.0,6.782329983125268,0.62,6.782329983125268,0.62,0.0,0.38,9.6092362701156
0,8.0,3.0,211.0,1.0,3.0,7.810249675906654,0.829,7.810249675906654,0.829,0.0,0.17100000000000004,8.587450829101767
0,8.0,3.0,239.0,1.0,3.0,6.082762530298219,0.848,6.082762530298219,0.848,0.0,0.15200000000000002,7.467686601309894
0,8.0,3.0,167.0,1.0,3.0,7.54983443527075,0.5149999999999999,7.54983443527075,0.515,0.0,0.48500000000000004,10.770910349284257
0,8.0,3.0,199.0,1.0,3.0,6.4031242374328485,0.2789999999999999,6.4031242374328485,0.279,0.0,0.7210000000000001,11.030838460012653
0,8.0,3.0,197.0,1.0,3.0,10.099504938362077,0.925,10.099504938362077,0.925,0.0,0.07500000000000001,10.31769125536557
0,8.0,3.0,181.0,1.0,3.0,6.082762530298219,0.644,6.082762530298219,0.644,0.0,0.356,9.25189656522566
0,8.0,3.0,199.0,1.0,3.0,6.4031242374328485,0.2789999999999999,6.4031242374328485,0.279,0.0,0.7210000000000001,11.030838460012653
0,8.0,3.0,241.0,1.0,3.0,6.782329983125268,0.62,6.782329983125268,0.62,0.0,0.38,9.6092362701156
0,8.0,3.0,197.0,1.0,3.0,10.099504938362077,0.925,10.099504938362077,0.925,0.0,0.07500000000000001,10.31769125536557
0,8.0,3.0,167.0,1.0,3.0,7.54983443527075,0.5149999999999999,7.54983443527075,0.515,0.0,0.48500000000000004,10.770910349284257
0,8.0,3.0,151.0,1.0,3.0,8.18535277187245,0.11499999999999999,8.18535277187245,0.115,0.0,0.885,15.848814582652981
0,8.0,3.0,157.0,1.0,3.0,10.198039027185569,0.11499999999999999,10.198039027185569,0.115,0.0,0.885,14.466486472277378
0,8.0,3.0,149.0,1.0,3.0,7.3484692283495345,0.6759999999999999,7.3484692283495345,0.676,0.0,0.32400000000000007,9.266988588180993
0,8.0,3.0,167.0,1.0,3.0,7.54983443527075,0.5149999999999999,7.54983443527075,0.515,0.0,0.48500000000000004,10.770910349284257
0,8.0,3.0,251.0,1.0,3.0,7.874007874011811,0.892,7.874007874011811,0.892,0.0,0.108,8.503328294835507
0,8.0,3.0,179.0,1.0,3.0,6.928203230275509,0.534,6.928203230275509,0.534,0.0,0.466,10.034506774757018
0,8.0,2.0,131.0,1.0,3.0,17.233687939614086,0.922,17.233687939614086,0.922,0.0,0.078,17.871523072732675
